Comment,Designator,Footprint,JLCPCB Part # (optional)
22uF,C1,0805_C,C45783
10uF,"C2,C6",0805_C,C237493
1uF,"C3,C10",0805_C,C28323
10nF,C4,0805_C,C97905
22nF,C5,0805_C,C77069
1nF,C7,0805_C,C1791
220pF,"C8,C9",0805_C,C61747
100nF,"C11,C12",0805_C,C28233
220uF,C13,SMT_8x10_C,C433299
1N4148WS,"D2,D3,D4,D5",SOD_323,C57759
1k,R1,0805_R,C17513
100k,"R2,R3,R4,R5,R8,R9,R10,R11,R20,R23,R24,R25",0805_R,C149504
10k,"R6,R12,R13,R16,R17,R18,R22,R26,R28,R29,R30,R31",0805_R,C17414
12k,R7,0805_R,C17444
47k,"R14,R15, R19",0805_R,C17713
100R,R21,0805_R,C17408
3.3k,R27,0805_R,C26010
TL074H,"U1,U2",SOIC-14-Narrow,C2878713
