Value,Reference,Footprint,Qty,DNP,Manufacturer,Part Number,SKU,Distributer
+9V Battery,BT1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,,TAWAIN,BH9VPC, A-843,TAYDA
220uF,C13,Capacitor_SMD:CP_Elec_8x10,1,,Nichicon,UUD1E221MNL1GS,493-2278-2-ND,Digi-Key
TE-CK-6.35-29B,J1,Osprey_Footprints:TE-CK-6.35-29B,1,,TAYDA, TE-PJ-645C, A-3575,TAYDA
Barrel_Jack_Switch,J2,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1,, WEALTH METAL, DC Power Bulkhead Jack 2.1mm, A-844,TAYDA
PJ-645C MONO,J3,Osprey_Footprints:PJ-644C MONO,1,,TAYDA,PJ-645C MONO, A-6042,TAYDA
50k Lin,RV1,Osprey_Footprints:RV16AF-41,1,,ALPHA, RV16106NO-OS15A00-B50K-060C,A-5524,TAYDA
2k Lin,RV3,Osprey_Footprints:RV16AF-41,1,, Tayda Electronics, RV16AF-41-15R1-B2K,A-3921,TAYDA
10k Lin,RV2,"Osprey_Footprints:RV16A10F-41-(L)R-XXX-3X(3),Osprey_Footprints:RV16AF-41",1,," Tayda Electronics,TAYDA", RV16106NO-OS15A00-B10K-060C, A-5680,TAYDA
10k Lin,RV4,"Osprey_Footprints:RV16A10F-41-(L)R-XXX-3X(3),Osprey_Footprints:RV16AF-41",1,," Tayda Electronics,TAYDA",RV16106GO-0S15AO0-B10K-060,A-5523,TAYDA
100k Lin,"RV5,RV11",Osprey_Footprints:RV16AF-41,2,, Tayda Electronics, RV16106NO-OS15A00-B100K-060C,A-5519,TAYDA
SW_3PDT_x3,SW1,Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical,1,,PIC, PBS24302,A-331,TAYDA
TL074H,"U1,U2",Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,2,,Texas Instruments,TL074HIDR,,
