Designator,Mid X,Mid Y,Layer,Rotation
C1,81.75,-79.75,B,180
C2,92.5,-123,B,180
C3,85.55,-138,B,180
C4,127.75,-90,B,0
C5,120.2,-86.25,B,0
C6,134.3175,-119.28,B,0
C7,114.55,-82.5,B,180
C8,134.5,-86,B,180
C9,140.75,-74,B,0
C10,65.05,-109.75,B,0
C11,120.2,-78.75,B,0
C12,78.75,-122.75,B,0
C13,80,-88.25,B,180
D2,102.25,-107.5,B,180
D3,97.25,-107.5,B,180
D4,99.8,-84.25,B,0
D5,99.8,-79.75,B,180
R1,92.5875,-134.25,B,0
R2,92.5875,-130.5,B,0
R3,92.5875,-126.75,B,180
R4,85.5875,-130.5,B,180
R5,85.5875,-134.25,B,180
R6,114.75,-71.5,B,180
R7,127.6625,-86.25,B,0
R8,120.18,-82.5,B,180
R9,120.18,-71.5,B,0
R10,127.4125,-71.5,B,180
R11,120.18,-75.25,B,0
R12,120.18,-90,B,180
R13,134.25,-71.5,B,0
R14,134.25,-75.25,B,180
R15,114.5875,-90,B,180
R16,140.25,-111.25,B,180
R17,92.4125,-119.46,B,0
R18,134.3375,-111.25,B,180
R19,127.925,-111.25,B,0
R20,127.925,-115.25,B,180
R21,127.925,-119.25,B,0
R22,140.25,-119.25,B,180
R23,114.6625,-86.25,B,0
R24,59.71875,-109.78,B,0
R25,70.38125,-109.78,B,0
R26,134.5,-82.5,B,180
R27,134.5,-90,B,0
R28,140.75,-85.75,B,180
R29,140.6625,-90,B,180
R30,140.75,-81.75,B,180
R31,140.75,-78,B,0
U1,85.75,-122.75,B,180
U2,127.5,-78.75,B,180
