Value,Reference,Footprint,Package,Qty,DNP,Manufacturer,Part Number,SKU,Distributer
+9V Battery,BT1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,-,1,,TAWAIN,BH9VPC, A-843,TAYDA
22uF,C1,Capacitor_SMD:C_0805_2012Metric,,1,,Samsung Electro-Mechanics,CL21A226MAQNNNE,C45783 ,LCSC
10uF,"C2,C6",Capacitor_SMD:C_0805_2012Metric,C_0805,2,,Murata Electronics,GRM21BZ71E106KE15L,C237493 ,LCSC
1uF,"C3,C10",Capacitor_SMD:C_0805_2012Metric,C_0805,2,,Samsung Electro-Mechanics,CL21B105KBFNNNE,C28323 ,LCSC
10nF,C4,Capacitor_SMD:C_0805_2012Metric,C_0805,1,,Murata Electronics,GRM2195C1H103JA01D,C97905 ,LCSC
22nF,C5,Capacitor_SMD:C_0805_2012Metric,C_0805,1,,Murata Electronics,GRM21B5C1H223JA01L,C77069 ,LCSC
47pF,C7,Capacitor_SMD:C_0805_2012Metric,C_0805,1,DNP,Samsung Electro-Mechanics,CL21C470JBANNNC,C14857,LCSC
47pF,C8,Capacitor_SMD:C_0805_2012Metric,C_0805,1,,Samsung Electro-Mechanics,CL21C470JBANNNC,C14857,LCSC
220pF,C9,Capacitor_SMD:C_0805_2012Metric,C_0805,1,,Samsung Electro-Mechanics,CL21C221JBANNNC,C61747 ,LCSC
100nF,"C11,C12",Capacitor_SMD:C_0805_2012Metric,C_0805,2,,Samsung Electro-Mechanics,CL21B104KCFNNNE,C28233 ,LCSC
220uF,C13,Capacitor_SMD:CP_Elec_8x10,C_0805,1,,Nichicon,UUD1E221MNL1GS,C433299 ,LCSC
1N4148WS,"D2,D3,D4,D5",PCM_Diode_SMD_AKL:D_SOD-323,SOD-323,4,,ST(Semtech),1N4148WS,C57759 ,LCSC
TE-CK-6.35-29B,J1,Osprey_Footprints:TE-CK-6.35-29B,-,1,,TAYDA, TE-PJ-645C, A-3575,TAYDA
Barrel_Jack_Switch,J2,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,-,1,, WEALTH METAL, DC Power Bulkhead Jack 2.1mm, A-844,TAYDA
PJ-645C MONO,J3,Osprey_Footprints:PJ-644C MONO,-,1,,TAYDA,PJ-645C MONO, A-6042,TAYDA
1k,R1,Resistor_SMD:R_0805_2012Metric,R_0805,1,,UNI-ROYAL(Uniroyal Elec),0805W8F1001T5E,C17513 ,LCSC
100k,"R2,R3,R4,R5,R8,R9,R10,R11,R32",Resistor_SMD:R_0805_2012Metric,R_0805,9,,UNI-ROYAL(Uniroyal Elec),0805W8F1003T5E,C149504 ,LCSC
10k,"R6,R12,R13,R16,R17,R18,R19,R20,R22,R26,R28,R29,R30,R31,R33",Resistor_SMD:R_0805_2012Metric,R_0805,15,,UNI-ROYAL(Uniroyal Elec),0805W8F1002T5E,C17414 ,LCSC
12k,R7,Resistor_SMD:R_0805_2012Metric,R_0805,1,,UNI-ROYAL(Uniroyal Elec),0805W8F1202T5E,C17444 ,LCSC
47k,"R14,R15",Resistor_SMD:R_0805_2012Metric,R_0805,2,,UNI-ROYAL(Uniroyal Elec),0805W8F4702T5E,C17713 ,LCSC
100R,R21,Resistor_SMD:R_0805_2012Metric,R_0805,1,,UNI-ROYAL(Uniroyal Elec),0805W8F1000T5E,C17408 ,LCSC
150k,"R23,R24,R25",Resistor_SMD:R_0805_2012Metric,R_0805,3,,UNI-ROYAL(Uniroyal Elec),0805W8F1503T5E,C17470,LCSC
3.3k,R27,Resistor_SMD:R_0805_2012Metric,R_0805,1,,UNI-ROYAL(Uniroyal Elec),0805W8F3301T5E,C26010 ,LCSC
50k Lin,RV1,Osprey_Footprints:RV16AF-41,-,1,,ALPHA, RV16106NO-OS15A00-B50K-060C,A-5524,TAYDA
10k Lin,RV2,Osprey_Footprints:RV16AF-41,-,1,, Tayda Electronics, RV16106NO-OS15A00-B10K-060C,A-5523,TAYDA
2k Lin,RV3,Osprey_Footprints:RV16AF-41,-,1,, Tayda Electronics, RV16AF-41-15R1-B2K,A-3921,TAYDA
10k Lin,RV4,Osprey_Footprints:RV16A10F-41-(L)R-XXX-3X(3),-,1,,TAYDA,RV16106GO-0S15AO0-B10K-060, A-5680,TAYDA
100k Lin,"RV5,RV11",Osprey_Footprints:RV16AF-41,-,2,, Tayda Electronics, RV16106NO-OS15A00-B100K-060C,A-5519,TAYDA
SW_3PDT_x3,SW1,Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical,-,1,,PIC, PBS-24-302-N2 Red/Green LED , A-1784 ,TAYDA
SW_DIP_x01,SW2,Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile,-,1,,"DongGuan KINGTEK Industrial Co.,LTD ",DSIC01LSGET,C54948,LCSC
TL074H,"U1,U2",Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,2,,Texas Instruments,TL074HIDR,C2878713 ,LCSC
