Designator,Mid X,Mid Y,Rotation,Layer
BT1,79,-141.73,0,top
C1,81.75,-79.75,0,bottom
C10,65.05,-109.75,180,bottom
C11,120.2,-78.75,180,bottom
C12,78.75,-122.75,180,bottom
C13,80,-88.25,180,bottom
C2,92.5,-123,0,bottom
C3,85.55,-138,0,bottom
C4,127.75,-90,180,bottom
C5,120.2,-86.25,180,bottom
C6,134.3175,-119.28,180,bottom
C8,134.5,-86,0,bottom
C9,140.75,-74,180,bottom
D2,102.25,-107.5,0,bottom
D3,97.25,-107.5,0,bottom
D4,99.8,-84.25,180,bottom
D5,99.8,-79.75,0,bottom
R1,92.5875,-134.25,180,bottom
R10,127.4125,-71.5,0,bottom
R11,120.18,-75.25,180,bottom
R12,120.18,-90,0,bottom
R13,134.25,-71.5,180,bottom
R14,134.25,-75.25,0,bottom
R15,114.5875,-90,0,bottom
R16,140.25,-111.25,0,bottom
R17,92.5,-116.75,180,bottom
R18,134.3375,-111.25,0,bottom
R19,127.925,-111.25,180,bottom
R2,92.5875,-130.5,180,bottom
R20,127.925,-115.25,0,bottom
R21,127.925,-119.25,180,bottom
R22,140.25,-119.25,0,bottom
R23,114.6625,-86.25,180,bottom
R24,59.71875,-109.78,180,bottom
R25,70.38125,-109.78,180,bottom
R26,134.5,-82.5,0,bottom
R27,134.5,-90,180,bottom
R28,140.75,-85.75,0,bottom
R29,140.6625,-90,0,bottom
R3,92.5875,-126.75,0,bottom
R30,140.75,-81.75,0,bottom
R31,140.75,-78,180,bottom
R32,92.5,-120,180,bottom
R33,98.25,-123,180,bottom
R4,85.5875,-130.5,0,bottom
R5,85.5875,-134.25,0,bottom
R6,114.75,-71.5,0,bottom
R7,127.6625,-86.25,180,bottom
R8,120.18,-82.5,0,bottom
SW2,105.5,-127.5,270,bottom
U1,85.75,-122.75,90,bottom
U2,127.5,-78.75,90,bottom
